BUDGET FISCAL YEAR,DEPARTMENT NAME,TOTAL BUDGET
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$12.36 
2017,CITY ADMINISTRATIVE OFFICER,$12.47 
2014,OFFICE OF FINANCE,$14.00 
2013,OFFICE OF FINANCE,$14.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$15.71 
2018,POLICE,$18.56 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$18.90 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$19.57 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$20.00 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$21.00 
2017,RECREATION AND PARKS,$21.75 
2017,RECREATION AND PARKS,$21.86 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$22.00 
2014,CITY ADMINISTRATIVE OFFICER,$23.86 
2016,ANIMAL SERVICES,$25.00 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$25.00 
2015,CULTURAL AFFAIRS,$25.17 
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$27.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$27.04 
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$29.04 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$29.56 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$33.79 
2017,RECREATION AND PARKS,$35.91 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$37.87 
2014,CULTURAL AFFAIRS,$40.51 
2015,TRANSPORTATION,$40.79 
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$43.20 
2013,PUBLIC WORKS - SANITATION,$45.09 
2016,TRANSPORTATION,$45.16 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$48.00 
2014,CULTURAL AFFAIRS,$49.06 
2014,CULTURAL AFFAIRS,$49.37 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$51.68 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$52.79 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$53.52 
2018,ANIMAL SERVICES,$54.50 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$56.00 
2016,FIRE,$57.13 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$57.80 
2017,CULTURAL AFFAIRS,$60.00 
2016,CULTURAL AFFAIRS,$60.00 
2014,CULTURAL AFFAIRS,$62.92 
2017,CULTURAL AFFAIRS,$64.80 
2016,CULTURAL AFFAIRS,$65.00 
2017,RECREATION AND PARKS,$70.55 
2012,TRANSPORTATION,$72.79 
2017,RECREATION AND PARKS,$73.44 
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,$75.00 
2012,CITY ADMINISTRATIVE OFFICER,$75.00 
2013,ANIMAL SERVICES,$75.00 
2017,FIRE,$77.63 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$82.05 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$84.49 
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,$85.28 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$93.59 
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$96.00 
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$96.57 
2017,MAYOR,$96.79 
2017,RECREATION AND PARKS,$101.25 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$103.56 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$106.00 
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$108.40 
2014,ANIMAL SERVICES,$110.00 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$115.00 
2013,CULTURAL AFFAIRS,$115.50 
2013,INFORMATION TECHNOLOGY AGENCY,$115.93 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$116.00 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$117.00 
2012,CULTURAL AFFAIRS,$117.37 
2016,CULTURAL AFFAIRS,$117.95 
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,$117.96 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$119.08 
2015,CULTURAL AFFAIRS,$119.17 
2016,INFORMATION TECHNOLOGY AGENCY,$120.00 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$125.00 
2017,CITY PLANNING,$126.56 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$127.77 
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,$143.22 
2017,RECREATION AND PARKS,$144.01 
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$144.07 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$144.34 
2012,CITY CLERK,$150.00 
2018,ANIMAL SERVICES,$150.00 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$158.00 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$159.00 
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$159.20 
2018,CULTURAL AFFAIRS,$160.00 
2017,RECREATION AND PARKS,$160.90 
2013,CITY CLERK,$163.00 
2014,CULTURAL AFFAIRS,$164.16 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$165.81 
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,$167.29 
2014,PUBLIC WORKS - STREET SERVICES,$168.36 
2013,TRANSPORTATION,$180.00 
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,$182.47 
2014,CULTURAL AFFAIRS,$192.80 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$195.41 
2017,RECREATION AND PARKS,$197.99 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$199.00 
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$200.00 
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$200.00 
2017,CITY ETHICS COMMISSION,$200.00 
2014,PUBLIC WORKS - STREET SERVICES,$200.00 
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,$200.00 
2016,RECREATION AND PARKS - SPECIAL ACCOUNTS,$200.00 
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$200.00 
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$200.00 
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$200.00 
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$200.00 
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$200.00 
2012,RECREATION AND PARKS,$200.00 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$200.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$202.37 
2013,RECREATION AND PARKS,$206.58 
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,$211.21 
2018,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,$211.60 
2014,TRANSPORTATION,$216.83 
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,$218.37 
2015,CULTURAL AFFAIRS,$218.89 
2013,CULTURAL AFFAIRS,$220.29 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$224.34 
2015,CULTURAL AFFAIRS,$226.90 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$228.43 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$231.04 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$232.69 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$237.72 
2017,CULTURAL AFFAIRS,$240.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$240.40 
2017,RECREATION AND PARKS,$247.76 
2018,PUBLIC WORKS - BOARD OF PUBLIC WORKS,$248.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$248.92 
2016,MAYOR,$250.00 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$252.00 
2014,MAYOR,$253.09 
2012,FIRE,$255.54 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$255.93 
2017,CULTURAL AFFAIRS,$256.06 
2014,GENERAL SERVICES,$258.92 
2017,RECREATION AND PARKS,$263.52 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$264.00 
2017,MAYOR,$264.68 
2012,DISABILITY,$265.36 
2013,GENERAL SERVICES,$269.70 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$272.00 
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$273.16 
2017,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,$273.36 
2014,CULTURAL AFFAIRS,$273.47 
2012,EMERGENCY OPERATIONS BOARD,$274.00 
2017,PUBLIC WORKS - BOARD OF PUBLIC WORKS,$274.05 
2015,CULTURAL AFFAIRS,$277.63 
2012,POLICE,$284.50 
2014,CULTURAL AFFAIRS,$288.69 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$295.00 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$298.00 
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$300.00 
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$300.00 
2017,CITY ETHICS COMMISSION,$300.00 
2015,CITY CLERK,$300.00 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$302.00 
2012,POLICE,$302.85 
2016,CULTURAL AFFAIRS,$303.83 
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$306.60 
2012,RECREATION AND PARKS,$310.21 
2013,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,$311.00 
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$312.00 
2017,RECREATION AND PARKS,$312.11 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$317.00 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$318.00 
2012,MAYOR,$324.00 
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$327.56 
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$328.82 
2017,RECREATION AND PARKS,$334.36 
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$338.74 
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$341.70 
2013,DISABILITY,$342.35 
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$345.00 
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$345.89 
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$348.55 
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,$353.94 
2016,CULTURAL AFFAIRS,$356.93 
2018,MAYOR,$357.40 
2016,CULTURAL AFFAIRS,$360.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$360.94 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$362.38 
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$362.46 
2018,CULTURAL AFFAIRS,$365.06 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$365.65 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$367.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$367.67 
2013,CITY CLERK,$375.00 
2014,CULTURAL AFFAIRS,$379.70 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$380.75 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$381.00 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$385.00 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$386.00 
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$389.00 
2016,AGING,$391.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$391.61 
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,$392.86 
2015,MAYOR,$395.78 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$400.00 
2017,ANIMAL SERVICES,$400.00 
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,$400.16 
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,$404.18 
2018,CULTURAL AFFAIRS,$413.26 
2017,CULTURAL AFFAIRS,$418.50 
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$421.16 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$426.00 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$432.00 
2012,ANIMAL SERVICES,$433.00 
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$434.02 
2015,CULTURAL AFFAIRS,$437.44 
2012,MAYOR,$440.00 
2012,GENERAL SERVICES,$442.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$443.58 
2013,NON-DEPARTMENTAL - GENERAL,$446.00 
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$449.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$453.40 
2016,CULTURAL AFFAIRS,$456.49 
2016,CITY ATTORNEY,$459.97 
2015,CITY ADMINISTRATIVE OFFICER,$460.00 
2016,CULTURAL AFFAIRS,$466.54 
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$467.94 
2017,RECREATION AND PARKS,$474.34 
2018,CULTURAL AFFAIRS,$475.34 
2016,DISABILITY,$478.03 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$480.00 
2012,OFFICE OF FINANCE,$484.00 
2017,CULTURAL AFFAIRS,$485.31 
2015,CITY CLERK,$490.68 
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$491.20 
2013,CULTURAL AFFAIRS,$492.34 
2017,RECREATION AND PARKS,$493.96 
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$496.00 
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$499.00 
2012,MAYOR,$499.75 
2012,CITY ATTORNEY,$500.00 
2013,MAYOR,$500.00 
2017,POLICE,$500.00 
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$500.00 
2018,CITY ETHICS COMMISSION,$500.00 
2015,RECREATION AND PARKS,$500.00 
2017,RECREATION AND PARKS,$502.86 
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$505.92 
2015,CITY ADMINISTRATIVE OFFICER,$509.00 
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$512.11 
2014,TRANSPORTATION,$513.38 
2016,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,$513.48 
2014,CULTURAL AFFAIRS,$515.72 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$518.66 
2015,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,$521.28 
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,$523.02 
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$528.00 
2016,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,$528.06 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$530.00 
2016,CULTURAL AFFAIRS,$535.09 
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,$535.65 
2017,POLICE,$540.00 
2016,RECREATION AND PARKS - SPECIAL ACCOUNTS,$542.16 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$544.00 
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,$545.49 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$545.82 
2017,RECREATION AND PARKS,$551.69 
2017,RECREATION AND PARKS,$556.32 
2017,RECREATION AND PARKS,$557.49 
2014,CITY ADMINISTRATIVE OFFICER,$567.00 
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,$575.00 
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$575.16 
2014,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,$578.43 
2017,RECREATION AND PARKS,$584.57 
2014,CULTURAL AFFAIRS,$586.56 
2013,MAYOR,$586.70 
2018,GENERAL SERVICES,$589.36 
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$590.78 
2013,CULTURAL AFFAIRS,$598.00 
2015,NEIGHBORHOOD EMPOWERMENT,$598.00 
2015,EMERGENCY OPERATIONS BOARD,$599.06 
2016,PUBLIC WORKS - CONTRACT ADMINISTRATION,$600.00 
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$600.00 
2012,RECREATION AND PARKS,$600.00 
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$600.00 
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$600.00 
2014,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,$600.00 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$600.00 
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$600.00 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$600.00 
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$600.00 
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$600.00 
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$600.00 
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,$600.00 
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$602.00 
2017,CULTURAL AFFAIRS,$605.49 
2018,CULTURAL AFFAIRS,$607.14 
2015,MAYOR,$610.51 
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$612.84 
2015,GENERAL SERVICES,$614.61 
2012,CULTURAL AFFAIRS,$621.16 
2015,RECREATION AND PARKS,$622.09 
2014,CULTURAL AFFAIRS,$622.54 
2016,GENERAL SERVICES,$623.70 
2015,CULTURAL AFFAIRS,$624.48 
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,$627.17 
2013,CULTURAL AFFAIRS,$633.14 
2013,CITY ADMINISTRATIVE OFFICER,$635.00 
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$636.00 
2012,POLICE,$641.62 
2015,POLICE,$650.00 
2016,CULTURAL AFFAIRS,$650.80 
2012,CULTURAL AFFAIRS,$655.53 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$666.00 
2017,CITY ATTORNEY,$666.47 
2015,TRANSPORTATION,$679.00 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$681.00 
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$682.84 
2017,RECREATION AND PARKS,$683.73 
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$688.00 
2017,RECREATION AND PARKS,$693.12 
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$695.00 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$696.00 
2014,FIRE,$697.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$701.48 
2017,RECREATION AND PARKS,$703.08 
2017,ZOO,$705.00 
2016,MAYOR,$706.43 
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$711.45 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$712.00 
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$720.40 
2016,TRANSPORTATION,$722.00 
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$726.75 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$727.00 
2012,POLICE,$731.59 
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$735.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$736.81 
2014,CULTURAL AFFAIRS,$741.10 
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$746.00 
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$746.52 
2017,RECREATION AND PARKS,$749.52 
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$754.00 
2013,AGING,$758.00 
2015,CULTURAL AFFAIRS,$764.67 
2017,CULTURAL AFFAIRS,$774.15 
2015,RECREATION AND PARKS,$780.09 
2013,CITY CLERK,$780.64 
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$783.24 
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$800.00 
2014,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,$801.54 
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$805.00 
2014,CULTURAL AFFAIRS,$810.00 
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$820.00 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$822.00 
2016,ANIMAL SERVICES,$826.00 
2017,CULTURAL AFFAIRS,$833.60 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$836.94 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$839.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$848.32 
2015,CULTURAL AFFAIRS,$850.57 
2017,RECREATION AND PARKS,$865.00 
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$867.00 
2017,RECREATION AND PARKS,$867.59 
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,$867.92 
2017,CULTURAL AFFAIRS,$869.00 
2017,RECREATION AND PARKS,$870.30 
2015,GENERAL SERVICES,$880.35 
2017,RECREATION AND PARKS,$881.19 
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$881.72 
2015,MAYOR,$882.06 
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$882.33 
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$884.62 
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,$887.04 
2013,MAYOR,$887.54 
2013,CULTURAL AFFAIRS,$898.62 
2015,CITY ADMINISTRATIVE OFFICER,$922.00 
2016,POLICE,$922.97 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$928.00 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$939.00 
2018,CULTURAL AFFAIRS,$945.12 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$947.00 
2017,CULTURAL AFFAIRS,$948.65 
2012,CITY ADMINISTRATIVE OFFICER,$951.00 
2012,CULTURAL AFFAIRS,$957.00 
2017,NEIGHBORHOOD EMPOWERMENT,$957.00 
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,$957.67 
2012,CITY ATTORNEY,$959.00 
2012,CITY EMPLOYEES RETIREMENT SYSTEM,$961.00 
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$968.52 
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$975.00 
2014,CITY ADMINISTRATIVE OFFICER,$976.00 
2015,CITY ADMINISTRATIVE OFFICER,$978.00 
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$981.00 
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,$983.76 
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$987.02 
2015,MAYOR,$988.00 
2012,POLICE,$991.62 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$993.00 
2014,POLICE,$993.00 
2014,CULTURAL AFFAIRS,$993.80 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$995.00 
